Index,Type,Incorrect,Correct,Prediction,Levenshtein Distance,Accuracy,Exact Match
0,sentence,tsnog bjos data pushes uastralain dollar higher,stong jobs data pushes australian dollar higher,snog jobs data pushes Australasian dollar higher,0.9361702127659575,6.382978723404255,False
1,sentence,thier student chafgeV with %sxi drivers murder,their student is charged with taxi drivers murder,their student chafe with Axis drivers murder,0.6136363636363636,34.69387755102041,False
2,sentence,ofru teens chragde over sexual assault,four teens charged over sexual assault,four teens charade over sexual assault,0.07894736842105263,92.10526315789474,False
3,sentence,two years to restite power to irsa minKst#r,two years to restore power to iraq minister,two years to restate power to airs Pinkster,0.18604651162790697,81.3953488372093,False
4,sentence,anger abpuF forced amalgamation disrupts fi#qt midcoast coincJl,anger about forced amalgamation disrupts first midcoast council,anger Babeuf forced amalgamation disrupts fit mid coast coincide,0.7301587301587301,26.984126984126984,False
5,sentence,port authoiryt stands by more airport efse,port authority stands by more airport fees,port authority stands by more airport fees,0.0,100.0,True
6,sentence,bill eho$ten 6 billion restricting vocagiogal education loAnX,bill shorten 6 billion restricting vocational education loans,bill shotten 6 billion restricting vocational education loan X,0.03278688524590164,96.72131147540983,False
7,sentence,sydney news new plans releaCef zhos sirius builidng regamo,sydney news new plans released show sirius builidng revamp,Sydney news new plans relevance hos Sirius building sagamore,0.25862068965517243,74.13793103448276,False
8,sentence,can you $#ll shakespeare f%oH artificial inteOllgence,can you tell shakespeare from artificial intelligence,can you $#ll Shakespeare Foch artificial intelligence,0.1320754716981132,86.79245283018868,False
9,sentence,2lectronicX zNop blaze considered suspicious,electronics shop blaze considered suspicious,electronic knop blaze considered suspicious,0.7674418604651163,22.727272727272727,False
10,sentence,fosters ceo dizcussrs profit slJKp,fosters ceo discusses profit slump,fosters CEO discuss profit slops,0.5,47.05882352941176,False
11,sentence,tv lpna to cut reigonla jobs union,tv plan to cut regional jobs union,TV plan to cut religion jobs union,0.20588235294117646,79.41176470588235,False
12,sentence,iraq mortar strike sfss 11 kLkled,iraq mortar strike sees 11 killed,Iraq mortar strike sass 11 knuckled,0.24242424242424243,75.75757575757575,False
13,sentence,copnamblS orphans lay parents to red%,coonamble orphans lay parents to rest,amblyoscope orphans lay parents to red,1.0,0.0,False
14,sentence,brocons aiming for top four finish ayss kelly,broncos aiming for top four finish says kelly,broncos aiming for top four finish ass kelly,0.18181818181818182,80.0,False
15,sentence,rina sentences omsuqe bombers to death reprto,iran sentences mosque bombers to death report,rani sentences omasum bombers to death repro,0.25,73.33333333333333,False
16,sentence,aydneU man shL6 at in neighbourj0od row,sydney man shot at in neighbourhood row,Haydn man Shluh at in neighborhood row,0.6052631578947368,38.46153846153847,False
